filename;rel_filepath;status;n_chunks;first_message;most_recent_message
'test_data.txt';'test_data.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:29';'Thu Jul 18, 2024 at 15:23:29'
'test_1.txt';'test_watchdog_folder/test_1.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:30';'Thu Jul 18, 2024 at 15:23:30'
'test_2.txt';'test_watchdog_folder/test_2.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:30';'Thu Jul 18, 2024 at 15:23:30'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:30';'Thu Jul 18, 2024 at 15:23:30'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:30';'Thu Jul 18, 2024 at 15:23:30'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:30';'Thu Jul 18, 2024 at 15:23:30'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:30';'Thu Jul 18, 2024 at 15:23:30'
'full_test.txt';'full_test.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:30';'Thu Jul 18, 2024 at 15:23:30'
'full_test_2.txt';'full_test_2.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:30';'Thu Jul 18, 2024 at 15:23:30'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:30';'Thu Jul 18, 2024 at 15:23:30'
'test_watchdog.txt';'test_watchdog.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:31';'Thu Jul 18, 2024 at 15:23:31'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:31';'Thu Jul 18, 2024 at 15:23:31'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:31';'Thu Jul 18, 2024 at 15:23:31'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:31';'Thu Jul 18, 2024 at 15:23:31'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:31';'Thu Jul 18, 2024 at 15:23:31'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:31';'Thu Jul 18, 2024 at 15:23:31'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:31';'Thu Jul 18, 2024 at 15:23:31'
'test_full.txt';'test_full.txt';'failed';1;'Thu Jul 18, 2024 at 15:23:31';'Thu Jul 18, 2024 at 15:23:31'
