filename;rel_filepath;n_chunks;first_message;processed_at
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:24:26';'Thu Jul 18, 2024 at 15:24:26'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 15:24:27';'Thu Jul 18, 2024 at 15:24:27'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:24:28';'Thu Jul 18, 2024 at 15:24:28'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:24:29';'Thu Jul 18, 2024 at 15:24:29'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:24:31';'Thu Jul 18, 2024 at 15:24:31'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:24:32';'Thu Jul 18, 2024 at 15:24:32'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:24:33';'Thu Jul 18, 2024 at 15:24:33'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:24:34';'Thu Jul 18, 2024 at 15:24:34'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 15:24:35';'Thu Jul 18, 2024 at 15:24:35'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 15:25:46';'Thu Jul 18, 2024 at 15:25:46'
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 15:24:25';'Thu Jul 18, 2024 at 15:24:25'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 15:24:27';'Thu Jul 18, 2024 at 15:24:27'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 15:24:28';'Thu Jul 18, 2024 at 15:24:28'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 15:24:29';'Thu Jul 18, 2024 at 15:24:29'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 15:24:30';'Thu Jul 18, 2024 at 15:24:30'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 15:24:31';'Thu Jul 18, 2024 at 15:24:31'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 15:24:32';'Thu Jul 18, 2024 at 15:24:32'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 15:24:33';'Thu Jul 18, 2024 at 15:24:33'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 15:24:35';'Thu Jul 18, 2024 at 15:24:35'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 15:24:36';'Thu Jul 18, 2024 at 15:24:36'
