filename;rel_filepath;n_chunks;first_message;processed_at
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:34:50';'Thu Jul 18, 2024 at 15:34:50'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 15:34:51';'Thu Jul 18, 2024 at 15:34:51'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:34:52';'Thu Jul 18, 2024 at 15:34:52'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:34:53';'Thu Jul 18, 2024 at 15:34:53'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:34:54';'Thu Jul 18, 2024 at 15:34:54'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:34:56';'Thu Jul 18, 2024 at 15:34:56'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:34:57';'Thu Jul 18, 2024 at 15:34:57'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:34:58';'Thu Jul 18, 2024 at 15:34:58'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 15:34:59';'Thu Jul 18, 2024 at 15:34:59'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 15:35:00';'Thu Jul 18, 2024 at 15:35:00'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 15:35:46';'Thu Jul 18, 2024 at 15:35:46'
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 15:34:51';'Thu Jul 18, 2024 at 15:34:51'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 15:34:52';'Thu Jul 18, 2024 at 15:34:52'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 15:34:53';'Thu Jul 18, 2024 at 15:34:53'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 15:34:54';'Thu Jul 18, 2024 at 15:34:54'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 15:34:55';'Thu Jul 18, 2024 at 15:34:55'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 15:34:56';'Thu Jul 18, 2024 at 15:34:56'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 15:34:57';'Thu Jul 18, 2024 at 15:34:57'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 15:34:58';'Thu Jul 18, 2024 at 15:34:58'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 15:35:00';'Thu Jul 18, 2024 at 15:35:00'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 15:35:01';'Thu Jul 18, 2024 at 15:35:01'
