Frame#	Time
0	17:21:55 632259
1	17:21:55 682299
2	17:21:55 732335
3	17:21:55 782375
4	17:21:55 832421
5	17:21:55 882464
6	17:21:55 932497
7	17:21:55 982552
8	17:21:56 32583
9	17:21:56 82625
10	17:21:56 132665
11	17:21:56 182705
12	17:21:56 232741
13	17:21:56 282781
14	17:21:56 332823
15	17:21:56 382868
16	17:21:56 432903
17	17:21:56 482947
18	17:21:56 532994
19	17:21:56 583031
20	17:21:56 633069
21	17:21:56 683113
22	17:21:56 733156
23	17:21:56 783192
24	17:21:56 833230
25	17:21:56 883275
26	17:21:56 933312
27	17:21:56 983351
28	17:21:57 33395
29	17:21:57 83438
30	17:21:57 133473
31	17:21:57 183519
32	17:21:57 233561
33	17:21:57 283601
34	17:21:57 333642
35	17:21:57 383685
36	17:21:57 433722
37	17:21:57 483747
38	17:21:57 533805
39	17:21:57 583840
40	17:21:57 633886
41	17:21:57 683929
42	17:21:57 733966
43	17:21:57 784007
44	17:21:57 834044
45	17:21:57 884085
46	17:21:57 934127
47	17:21:57 984165
48	17:21:58 34211
49	17:21:58 84253
50	17:21:58 134292
51	17:21:58 184334
52	17:21:58 234371
53	17:21:58 284414
54	17:21:58 334455
55	17:21:58 384500
56	17:21:58 434537
57	17:21:58 484579
58	17:21:58 534614
59	17:21:58 584658
60	17:21:58 634695
61	17:21:58 684735
62	17:21:58 734781
63	17:21:58 784822
64	17:21:58 834862
65	17:21:58 884900
66	17:21:58 934944
67	17:21:58 984985
68	17:21:59 35021
69	17:21:59 85060
70	17:21:59 135102
71	17:21:59 185143
72	17:21:59 235185
73	17:21:59 285229
74	17:21:59 335270
75	17:21:59 385314
76	17:21:59 435354
77	17:21:59 485386
78	17:21:59 535428
79	17:21:59 585480
80	17:21:59 635511
81	17:21:59 685556
82	17:21:59 735566
83	17:21:59 785636
84	17:21:59 835677
85	17:21:59 885718
86	17:21:59 935757
87	17:21:59 985801
88	17:22:00 35840
89	17:22:00 85876
90	17:22:00 135921
91	17:22:00 185959
92	17:22:00 235974
93	17:22:00 286042
94	17:22:00 336084
95	17:22:00 386120
96	17:22:00 436160
97	17:22:00 486201
98	17:22:00 536241
99	17:22:00 586285
100	17:22:00 636327
101	17:22:00 686468
102	17:22:00 736409
103	17:22:00 786451
104	17:22:00 836489
105	17:22:00 886534
106	17:22:00 936567
107	17:22:00 986613
108	17:22:01 36652
109	17:22:01 86694
110	17:22:01 136730
111	17:22:01 186769
112	17:22:01 236811
113	17:22:01 286857
114	17:22:01 336897
115	17:22:01 386939
116	17:22:01 436975
117	17:22:01 487015
118	17:22:01 537055
119	17:22:01 587096
120	17:22:01 637135
121	17:22:01 687151
122	17:22:01 737225
123	17:22:01 787267
124	17:22:01 837300
125	17:22:01 887316
126	17:22:01 937386
127	17:22:01 987422
128	17:22:02 37471
129	17:22:02 87508
130	17:22:02 137544
131	17:22:02 187589
132	17:22:02 237631
133	17:22:02 287674
134	17:22:02 337684
135	17:22:02 387752
136	17:22:02 437766
137	17:22:02 487834
138	17:22:02 537875
139	17:22:02 587915
140	17:22:02 637957
141	17:22:02 687996
142	17:22:02 738026
143	17:22:02 788077
144	17:22:02 838129
145	17:22:02 888153
146	17:22:02 938171
147	17:22:02 988210
148	17:22:03 38251
149	17:22:03 88327
150	17:22:03 138334
151	17:22:03 188396
152	17:22:03 238439
153	17:22:03 288478
154	17:22:03 338499
155	17:22:03 388549
156	17:22:03 438580
157	17:22:03 488620
158	17:22:03 538662
159	17:22:03 588701
160	17:22:03 638766
161	17:22:03 688780
162	17:22:03 738824
163	17:22:03 788864
164	17:22:03 838909
165	17:22:03 888948
166	17:22:03 938985
167	17:22:03 989027
168	17:22:04 39065
169	17:22:04 89123
170	17:22:04 139147
171	17:22:04 189187
172	17:22:04 239227
173	17:22:04 289269
174	17:22:04 339310
175	17:22:04 389350
176	17:22:04 439395
177	17:22:04 489434
178	17:22:04 539474
179	17:22:04 589518
180	17:22:04 639557
