filename;rel_filepath;n_chunks;first_message;processed_at
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:12:23';'Thu Jul 18, 2024 at 16:12:23'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 16:12:24';'Thu Jul 18, 2024 at 16:12:24'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:12:25';'Thu Jul 18, 2024 at 16:12:25'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:12:26';'Thu Jul 18, 2024 at 16:12:26'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:12:27';'Thu Jul 18, 2024 at 16:12:27'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:12:28';'Thu Jul 18, 2024 at 16:12:28'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:12:29';'Thu Jul 18, 2024 at 16:12:29'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:12:31';'Thu Jul 18, 2024 at 16:12:31'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 16:12:32';'Thu Jul 18, 2024 at 16:12:32'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:12:33';'Thu Jul 18, 2024 at 16:12:33'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:12:34';'Thu Jul 18, 2024 at 16:12:34'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:12:35';'Thu Jul 18, 2024 at 16:12:35'
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 16:12:22';'Thu Jul 18, 2024 at 16:12:22'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 16:12:23';'Thu Jul 18, 2024 at 16:12:23'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 16:12:24';'Thu Jul 18, 2024 at 16:12:24'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 16:12:25';'Thu Jul 18, 2024 at 16:12:25'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 16:12:26';'Thu Jul 18, 2024 at 16:12:26'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 16:12:28';'Thu Jul 18, 2024 at 16:12:28'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 16:12:29';'Thu Jul 18, 2024 at 16:12:29'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 16:12:30';'Thu Jul 18, 2024 at 16:12:30'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 16:12:31';'Thu Jul 18, 2024 at 16:12:31'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 16:12:32';'Thu Jul 18, 2024 at 16:12:32'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 16:12:33';'Thu Jul 18, 2024 at 16:12:33'
