filename;rel_filepath;n_chunks;first_message;processed_at
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 17:52:55';'Thu Jul 18, 2024 at 17:52:55'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 17:52:57';'Thu Jul 18, 2024 at 17:52:57'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 17:52:58';'Thu Jul 18, 2024 at 17:52:58'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 17:53:00';'Thu Jul 18, 2024 at 17:53:00'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 17:53:01';'Thu Jul 18, 2024 at 17:53:01'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 17:53:02';'Thu Jul 18, 2024 at 17:53:02'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 17:53:04';'Thu Jul 18, 2024 at 17:53:04'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 17:53:05';'Thu Jul 18, 2024 at 17:53:05'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 17:53:07';'Thu Jul 18, 2024 at 17:53:07'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 17:53:08';'Thu Jul 18, 2024 at 17:53:08'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 17:53:10';'Thu Jul 18, 2024 at 17:53:10'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 17:53:11';'Thu Jul 18, 2024 at 17:53:11'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 17:53:12';'Thu Jul 18, 2024 at 17:53:12'
'test02.txt';'test02.txt';1;'Thu Jul 18, 2024 at 17:53:13';'Thu Jul 18, 2024 at 17:53:13'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 17:52:56';'Thu Jul 18, 2024 at 17:52:56'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 17:52:57';'Thu Jul 18, 2024 at 17:52:57'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 17:52:59';'Thu Jul 18, 2024 at 17:52:59'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 17:53:00';'Thu Jul 18, 2024 at 17:53:00'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 17:53:02';'Thu Jul 18, 2024 at 17:53:02'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 17:53:03';'Thu Jul 18, 2024 at 17:53:03'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 17:53:05';'Thu Jul 18, 2024 at 17:53:05'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 17:53:06';'Thu Jul 18, 2024 at 17:53:06'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 17:53:07';'Thu Jul 18, 2024 at 17:53:07'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 17:53:09';'Thu Jul 18, 2024 at 17:53:09'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 17:53:10';'Thu Jul 18, 2024 at 17:53:10'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 17:53:12';'Thu Jul 18, 2024 at 17:53:12'
