filename;rel_filepath;n_chunks;first_message;processed_at
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 15:37:17';'Thu Jul 18, 2024 at 15:37:17'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 15:37:18';'Thu Jul 18, 2024 at 15:37:18'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 15:37:19';'Thu Jul 18, 2024 at 15:37:19'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 15:37:20';'Thu Jul 18, 2024 at 15:37:20'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 15:37:21';'Thu Jul 18, 2024 at 15:37:21'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 15:37:22';'Thu Jul 18, 2024 at 15:37:22'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 15:37:23';'Thu Jul 18, 2024 at 15:37:23'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 15:37:25';'Thu Jul 18, 2024 at 15:37:25'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 15:37:26';'Thu Jul 18, 2024 at 15:37:26'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 15:37:27';'Thu Jul 18, 2024 at 15:37:27'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 15:38:25';'Thu Jul 18, 2024 at 15:38:25'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:37:16';'Thu Jul 18, 2024 at 15:37:16'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 15:37:17';'Thu Jul 18, 2024 at 15:37:17'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:37:18';'Thu Jul 18, 2024 at 15:37:18'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:37:19';'Thu Jul 18, 2024 at 15:37:19'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:37:21';'Thu Jul 18, 2024 at 15:37:21'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:37:22';'Thu Jul 18, 2024 at 15:37:22'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:37:23';'Thu Jul 18, 2024 at 15:37:23'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 15:37:24';'Thu Jul 18, 2024 at 15:37:24'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 15:37:25';'Thu Jul 18, 2024 at 15:37:25'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 15:37:27';'Thu Jul 18, 2024 at 15:37:27'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 15:37:28';'Thu Jul 18, 2024 at 15:37:28'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 15:37:52';'Thu Jul 18, 2024 at 15:37:52'
