filename;rel_filepath;n_chunks;first_message;processed_at
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 18:57:54';'Thu Jul 18, 2024 at 18:57:54'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:57:55';'Thu Jul 18, 2024 at 18:57:55'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:57:56';'Thu Jul 18, 2024 at 18:57:56'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:57:58';'Thu Jul 18, 2024 at 18:57:58'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:57:59';'Thu Jul 18, 2024 at 18:57:59'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 18:58:01';'Thu Jul 18, 2024 at 18:58:01'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 18:58:02';'Thu Jul 18, 2024 at 18:58:02'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:58:04';'Thu Jul 18, 2024 at 18:58:04'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:58:05';'Thu Jul 18, 2024 at 18:58:05'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 18:58:06';'Thu Jul 18, 2024 at 18:58:06'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 18:58:08';'Thu Jul 18, 2024 at 18:58:08'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:58:09';'Thu Jul 18, 2024 at 18:58:09'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:58:11';'Thu Jul 18, 2024 at 18:58:11'
'test02.txt';'test02.txt';1;'Thu Jul 18, 2024 at 18:58:12';'Thu Jul 18, 2024 at 18:58:12'
'test05.txt';'test05.txt';1;'Thu Jul 18, 2024 at 18:58:14';'Thu Jul 18, 2024 at 18:58:14'
'test06.txt';'test06.txt';1;'Thu Jul 18, 2024 at 18:58:56';'Thu Jul 18, 2024 at 18:58:56'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:57:54';'Thu Jul 18, 2024 at 18:57:54'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 18:57:56';'Thu Jul 18, 2024 at 18:57:56'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:57:57';'Thu Jul 18, 2024 at 18:57:57'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:57:59';'Thu Jul 18, 2024 at 18:57:59'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:58:00';'Thu Jul 18, 2024 at 18:58:00'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:58:01';'Thu Jul 18, 2024 at 18:58:01'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:58:03';'Thu Jul 18, 2024 at 18:58:03'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:58:04';'Thu Jul 18, 2024 at 18:58:04'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 18:58:06';'Thu Jul 18, 2024 at 18:58:06'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:58:07';'Thu Jul 18, 2024 at 18:58:07'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:58:09';'Thu Jul 18, 2024 at 18:58:09'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:58:10';'Thu Jul 18, 2024 at 18:58:10'
'test03.txt';'test03.txt';1;'Thu Jul 18, 2024 at 18:58:12';'Thu Jul 18, 2024 at 18:58:12'
'test04.txt';'test04.txt';1;'Thu Jul 18, 2024 at 18:58:13';'Thu Jul 18, 2024 at 18:58:13'
