filename;rel_filepath;n_chunks;first_message;processed_at
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 16:42:26';'Thu Jul 18, 2024 at 16:42:26'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 16:42:27';'Thu Jul 18, 2024 at 16:42:27'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 16:42:27';'Thu Jul 18, 2024 at 16:42:27'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 16:42:28';'Thu Jul 18, 2024 at 16:42:28'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 16:42:28';'Thu Jul 18, 2024 at 16:42:28'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:42:29';'Thu Jul 18, 2024 at 16:42:29'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 16:42:30';'Thu Jul 18, 2024 at 16:42:30'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:42:31';'Thu Jul 18, 2024 at 16:42:31'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:42:32';'Thu Jul 18, 2024 at 16:42:32'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:42:33';'Thu Jul 18, 2024 at 16:42:33'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:42:34';'Thu Jul 18, 2024 at 16:42:34'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:42:35';'Thu Jul 18, 2024 at 16:42:35'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:42:37';'Thu Jul 18, 2024 at 16:42:37'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 16:42:38';'Thu Jul 18, 2024 at 16:42:38'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:42:38';'Thu Jul 18, 2024 at 16:42:38'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:42:39';'Thu Jul 18, 2024 at 16:42:39'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:42:40';'Thu Jul 18, 2024 at 16:42:40'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 16:42:30';'Thu Jul 18, 2024 at 16:42:30'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 16:42:31';'Thu Jul 18, 2024 at 16:42:31'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 16:42:32';'Thu Jul 18, 2024 at 16:42:32'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 16:42:34';'Thu Jul 18, 2024 at 16:42:34'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 16:42:35';'Thu Jul 18, 2024 at 16:42:35'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 16:42:36';'Thu Jul 18, 2024 at 16:42:36'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 16:42:37';'Thu Jul 18, 2024 at 16:42:37'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 16:43:44';'Thu Jul 18, 2024 at 16:43:44'
