filename;rel_filepath;n_chunks;first_message;processed_at
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 19:13:52';'Thu Jul 18, 2024 at 19:13:52'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 19:13:54';'Thu Jul 18, 2024 at 19:13:54'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 19:13:55';'Thu Jul 18, 2024 at 19:13:55'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 19:13:56';'Thu Jul 18, 2024 at 19:13:56'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 19:13:58';'Thu Jul 18, 2024 at 19:13:58'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 19:13:59';'Thu Jul 18, 2024 at 19:13:59'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 19:14:01';'Thu Jul 18, 2024 at 19:14:01'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 19:14:02';'Thu Jul 18, 2024 at 19:14:02'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 19:14:03';'Thu Jul 18, 2024 at 19:14:03'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 19:14:05';'Thu Jul 18, 2024 at 19:14:05'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 19:14:06';'Thu Jul 18, 2024 at 19:14:06'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 19:14:08';'Thu Jul 18, 2024 at 19:14:08'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 19:14:09';'Thu Jul 18, 2024 at 19:14:09'
'test02.txt';'test02.txt';1;'Thu Jul 18, 2024 at 19:14:10';'Thu Jul 18, 2024 at 19:14:10'
'test05.txt';'test05.txt';1;'Thu Jul 18, 2024 at 19:14:12';'Thu Jul 18, 2024 at 19:14:12'
'test06.txt';'test06.txt';1;'Thu Jul 18, 2024 at 19:14:13';'Thu Jul 18, 2024 at 19:14:13'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 19:13:53';'Thu Jul 18, 2024 at 19:13:53'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 19:13:54';'Thu Jul 18, 2024 at 19:13:54'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 19:13:56';'Thu Jul 18, 2024 at 19:13:56'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 19:13:57';'Thu Jul 18, 2024 at 19:13:57'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 19:13:58';'Thu Jul 18, 2024 at 19:13:58'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 19:14:00';'Thu Jul 18, 2024 at 19:14:00'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 19:14:01';'Thu Jul 18, 2024 at 19:14:01'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 19:14:03';'Thu Jul 18, 2024 at 19:14:03'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 19:14:04';'Thu Jul 18, 2024 at 19:14:04'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 19:14:05';'Thu Jul 18, 2024 at 19:14:05'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 19:14:07';'Thu Jul 18, 2024 at 19:14:07'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 19:14:08';'Thu Jul 18, 2024 at 19:14:08'
'test03.txt';'test03.txt';1;'Thu Jul 18, 2024 at 19:14:10';'Thu Jul 18, 2024 at 19:14:10'
'test04.txt';'test04.txt';1;'Thu Jul 18, 2024 at 19:14:11';'Thu Jul 18, 2024 at 19:14:11'
