filename;rel_filepath;n_chunks;first_message;processed_at
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:51:18';'Thu Jul 18, 2024 at 16:51:18'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 16:51:19';'Thu Jul 18, 2024 at 16:51:19'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:51:20';'Thu Jul 18, 2024 at 16:51:20'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:51:21';'Thu Jul 18, 2024 at 16:51:21'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:51:22';'Thu Jul 18, 2024 at 16:51:22'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:51:23';'Thu Jul 18, 2024 at 16:51:23'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:51:25';'Thu Jul 18, 2024 at 16:51:25'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:51:27';'Thu Jul 18, 2024 at 16:51:27'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 16:51:28';'Thu Jul 18, 2024 at 16:51:28'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:51:29';'Thu Jul 18, 2024 at 16:51:29'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:51:30';'Thu Jul 18, 2024 at 16:51:30'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:51:31';'Thu Jul 18, 2024 at 16:51:31'
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 16:51:19';'Thu Jul 18, 2024 at 16:51:19'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 16:51:20';'Thu Jul 18, 2024 at 16:51:20'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 16:51:21';'Thu Jul 18, 2024 at 16:51:21'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 16:51:22';'Thu Jul 18, 2024 at 16:51:22'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 16:51:23';'Thu Jul 18, 2024 at 16:51:23'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 16:51:24';'Thu Jul 18, 2024 at 16:51:24'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 16:51:26';'Thu Jul 18, 2024 at 16:51:26'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 16:51:27';'Thu Jul 18, 2024 at 16:51:27'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 16:51:28';'Thu Jul 18, 2024 at 16:51:28'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 16:51:29';'Thu Jul 18, 2024 at 16:51:29'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 16:51:31';'Thu Jul 18, 2024 at 16:51:31'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 16:51:32';'Thu Jul 18, 2024 at 16:51:32'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 16:51:32';'Thu Jul 18, 2024 at 16:51:32'
