filename;rel_filepath;n_chunks;first_message;processed_at
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 18:46:02';'Thu Jul 18, 2024 at 18:46:02'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:46:04';'Thu Jul 18, 2024 at 18:46:04'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:46:05';'Thu Jul 18, 2024 at 18:46:05'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:46:07';'Thu Jul 18, 2024 at 18:46:07'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:46:08';'Thu Jul 18, 2024 at 18:46:08'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 18:46:10';'Thu Jul 18, 2024 at 18:46:10'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 18:46:11';'Thu Jul 18, 2024 at 18:46:11'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:46:13';'Thu Jul 18, 2024 at 18:46:13'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:46:14';'Thu Jul 18, 2024 at 18:46:14'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 18:46:16';'Thu Jul 18, 2024 at 18:46:16'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 18:46:17';'Thu Jul 18, 2024 at 18:46:17'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:46:19';'Thu Jul 18, 2024 at 18:46:19'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:46:20';'Thu Jul 18, 2024 at 18:46:20'
'test02.txt';'test02.txt';1;'Thu Jul 18, 2024 at 18:46:22';'Thu Jul 18, 2024 at 18:46:22'
'test05.txt';'test05.txt';1;'Thu Jul 18, 2024 at 18:46:22';'Thu Jul 18, 2024 at 18:46:22'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:46:02';'Thu Jul 18, 2024 at 18:46:02'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 18:46:03';'Thu Jul 18, 2024 at 18:46:03'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:46:05';'Thu Jul 18, 2024 at 18:46:05'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:46:06';'Thu Jul 18, 2024 at 18:46:06'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:46:08';'Thu Jul 18, 2024 at 18:46:08'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:46:09';'Thu Jul 18, 2024 at 18:46:09'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:46:11';'Thu Jul 18, 2024 at 18:46:11'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:46:12';'Thu Jul 18, 2024 at 18:46:12'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 18:46:13';'Thu Jul 18, 2024 at 18:46:13'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:46:15';'Thu Jul 18, 2024 at 18:46:15'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:46:16';'Thu Jul 18, 2024 at 18:46:16'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:46:18';'Thu Jul 18, 2024 at 18:46:18'
'test03.txt';'test03.txt';1;'Thu Jul 18, 2024 at 18:46:19';'Thu Jul 18, 2024 at 18:46:19'
'test04.txt';'test04.txt';1;'Thu Jul 18, 2024 at 18:46:21';'Thu Jul 18, 2024 at 18:46:21'
