filename;rel_filepath;n_chunks;first_message;processed_at
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 16:59:17';'Thu Jul 18, 2024 at 16:59:17'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 16:59:18';'Thu Jul 18, 2024 at 16:59:18'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 16:59:19';'Thu Jul 18, 2024 at 16:59:19'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 16:59:20';'Thu Jul 18, 2024 at 16:59:20'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 16:59:21';'Thu Jul 18, 2024 at 16:59:21'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 16:59:22';'Thu Jul 18, 2024 at 16:59:22'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 16:59:24';'Thu Jul 18, 2024 at 16:59:24'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 16:59:25';'Thu Jul 18, 2024 at 16:59:25'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 16:59:26';'Thu Jul 18, 2024 at 16:59:26'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 16:59:27';'Thu Jul 18, 2024 at 16:59:27'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 16:59:28';'Thu Jul 18, 2024 at 16:59:28'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 16:59:29';'Thu Jul 18, 2024 at 16:59:29'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 16:59:30';'Thu Jul 18, 2024 at 16:59:30'
'test02.txt';'test02.txt';1;'Thu Jul 18, 2024 at 17:00:32';'Thu Jul 18, 2024 at 17:00:32'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:59:17';'Thu Jul 18, 2024 at 16:59:17'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 16:59:18';'Thu Jul 18, 2024 at 16:59:18'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:59:20';'Thu Jul 18, 2024 at 16:59:20'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:59:21';'Thu Jul 18, 2024 at 16:59:21'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:59:22';'Thu Jul 18, 2024 at 16:59:22'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:59:23';'Thu Jul 18, 2024 at 16:59:23'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:59:24';'Thu Jul 18, 2024 at 16:59:24'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 16:59:25';'Thu Jul 18, 2024 at 16:59:25'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 16:59:26';'Thu Jul 18, 2024 at 16:59:26'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:59:27';'Thu Jul 18, 2024 at 16:59:27'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:59:29';'Thu Jul 18, 2024 at 16:59:29'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 16:59:30';'Thu Jul 18, 2024 at 16:59:30'
