filename;rel_filepath;n_chunks;first_message;processed_at
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 18:03:49';'Thu Jul 18, 2024 at 18:03:49'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'test02.txt';'test02.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:03:49';'Thu Jul 18, 2024 at 18:03:49'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:03:50';'Thu Jul 18, 2024 at 18:03:50'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'test03.txt';'test03.txt';1;'Thu Jul 18, 2024 at 18:03:51';'Thu Jul 18, 2024 at 18:03:51'
'test04.txt';'test04.txt';1;'Thu Jul 18, 2024 at 18:04:44';'Thu Jul 18, 2024 at 18:04:44'
