filename;rel_filepath;n_chunks;first_message;processed_at
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 18:54:05';'Thu Jul 18, 2024 at 18:54:05'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:54:07';'Thu Jul 18, 2024 at 18:54:07'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:54:08';'Thu Jul 18, 2024 at 18:54:08'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:54:10';'Thu Jul 18, 2024 at 18:54:10'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:54:11';'Thu Jul 18, 2024 at 18:54:11'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 18:54:13';'Thu Jul 18, 2024 at 18:54:13'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 18:54:14';'Thu Jul 18, 2024 at 18:54:14'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:54:16';'Thu Jul 18, 2024 at 18:54:16'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:54:17';'Thu Jul 18, 2024 at 18:54:17'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 18:54:18';'Thu Jul 18, 2024 at 18:54:18'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 18:54:20';'Thu Jul 18, 2024 at 18:54:20'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:54:21';'Thu Jul 18, 2024 at 18:54:21'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:54:23';'Thu Jul 18, 2024 at 18:54:23'
'test02.txt';'test02.txt';1;'Thu Jul 18, 2024 at 18:54:24';'Thu Jul 18, 2024 at 18:54:24'
'test05.txt';'test05.txt';1;'Thu Jul 18, 2024 at 18:54:25';'Thu Jul 18, 2024 at 18:54:25'
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:54:05';'Thu Jul 18, 2024 at 18:54:05'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 18:54:06';'Thu Jul 18, 2024 at 18:54:06'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:54:08';'Thu Jul 18, 2024 at 18:54:08'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:54:09';'Thu Jul 18, 2024 at 18:54:09'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:54:11';'Thu Jul 18, 2024 at 18:54:11'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:54:12';'Thu Jul 18, 2024 at 18:54:12'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:54:13';'Thu Jul 18, 2024 at 18:54:13'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:54:15';'Thu Jul 18, 2024 at 18:54:15'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 18:54:16';'Thu Jul 18, 2024 at 18:54:16'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:54:18';'Thu Jul 18, 2024 at 18:54:18'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:54:19';'Thu Jul 18, 2024 at 18:54:19'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:54:21';'Thu Jul 18, 2024 at 18:54:21'
'test03.txt';'test03.txt';1;'Thu Jul 18, 2024 at 18:54:22';'Thu Jul 18, 2024 at 18:54:22'
'test04.txt';'test04.txt';1;'Thu Jul 18, 2024 at 18:54:23';'Thu Jul 18, 2024 at 18:54:23'
