filename;rel_filepath;n_chunks;first_message;processed_at
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:41:40';'Thu Jul 18, 2024 at 18:41:40'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 18:41:41';'Thu Jul 18, 2024 at 18:41:41'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:41:43';'Thu Jul 18, 2024 at 18:41:43'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:41:44';'Thu Jul 18, 2024 at 18:41:44'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:41:45';'Thu Jul 18, 2024 at 18:41:45'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:41:47';'Thu Jul 18, 2024 at 18:41:47'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:41:48';'Thu Jul 18, 2024 at 18:41:48'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:41:50';'Thu Jul 18, 2024 at 18:41:50'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 18:41:51';'Thu Jul 18, 2024 at 18:41:51'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:41:53';'Thu Jul 18, 2024 at 18:41:53'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:41:54';'Thu Jul 18, 2024 at 18:41:54'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:41:56';'Thu Jul 18, 2024 at 18:41:56'
'test03.txt';'test03.txt';1;'Thu Jul 18, 2024 at 18:41:57';'Thu Jul 18, 2024 at 18:41:57'
'test04.txt';'test04.txt';1;'Thu Jul 18, 2024 at 18:41:59';'Thu Jul 18, 2024 at 18:41:59'
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 18:41:40';'Thu Jul 18, 2024 at 18:41:40'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:41:42';'Thu Jul 18, 2024 at 18:41:42'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:41:43';'Thu Jul 18, 2024 at 18:41:43'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:41:45';'Thu Jul 18, 2024 at 18:41:45'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:41:46';'Thu Jul 18, 2024 at 18:41:46'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 18:41:48';'Thu Jul 18, 2024 at 18:41:48'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 18:41:49';'Thu Jul 18, 2024 at 18:41:49'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:41:51';'Thu Jul 18, 2024 at 18:41:51'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:41:52';'Thu Jul 18, 2024 at 18:41:52'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 18:41:53';'Thu Jul 18, 2024 at 18:41:53'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 18:41:55';'Thu Jul 18, 2024 at 18:41:55'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:41:56';'Thu Jul 18, 2024 at 18:41:56'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:41:58';'Thu Jul 18, 2024 at 18:41:58'
'test02.txt';'test02.txt';1;'Thu Jul 18, 2024 at 18:41:59';'Thu Jul 18, 2024 at 18:41:59'
'test05.txt';'test05.txt';1;'Thu Jul 18, 2024 at 18:43:06';'Thu Jul 18, 2024 at 18:43:06'
