filename;rel_filepath;n_chunks;first_message;processed_at
'test_data-checkpoint.txt';'.ipynb_checkpoints/test_data-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:06:35';'Thu Jul 18, 2024 at 18:06:35'
'test_watchdog.txt';'test_watchdog.txt';1;'Thu Jul 18, 2024 at 18:06:36';'Thu Jul 18, 2024 at 18:06:36'
'test_1-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:06:37';'Thu Jul 18, 2024 at 18:06:37'
'test_2-checkpoint.txt';'test_watchdog_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:06:39';'Thu Jul 18, 2024 at 18:06:39'
'test_1-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:06:40';'Thu Jul 18, 2024 at 18:06:40'
'test_2-checkpoint.txt';'test_watchdog_process_folder/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:06:42';'Thu Jul 18, 2024 at 18:06:42'
'test_1-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_1-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:06:43';'Thu Jul 18, 2024 at 18:06:43'
'test_2-checkpoint.txt';'test_watchdog_process_folder_2/.ipynb_checkpoints/test_2-checkpoint.txt';1;'Thu Jul 18, 2024 at 18:06:45';'Thu Jul 18, 2024 at 18:06:45'
'test_full.txt';'test_full.txt';1;'Thu Jul 18, 2024 at 18:06:46';'Thu Jul 18, 2024 at 18:06:46'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:06:48';'Thu Jul 18, 2024 at 18:06:48'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:06:49';'Thu Jul 18, 2024 at 18:06:49'
'final_test.txt';'final_test.txt';1;'Thu Jul 18, 2024 at 18:06:51';'Thu Jul 18, 2024 at 18:06:51'
'test03.txt';'test03.txt';1;'Thu Jul 18, 2024 at 18:06:52';'Thu Jul 18, 2024 at 18:06:52'
'test04.txt';'test04.txt';1;'Thu Jul 18, 2024 at 18:06:54';'Thu Jul 18, 2024 at 18:06:54'
'test_data.txt';'test_data.txt';1;'Thu Jul 18, 2024 at 18:06:35';'Thu Jul 18, 2024 at 18:06:35'
'test_1.txt';'test_watchdog_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:06:37';'Thu Jul 18, 2024 at 18:06:37'
'test_2.txt';'test_watchdog_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:06:38';'Thu Jul 18, 2024 at 18:06:38'
'test_2.txt';'test_watchdog_process_folder/test_2.txt';1;'Thu Jul 18, 2024 at 18:06:40';'Thu Jul 18, 2024 at 18:06:40'
'test_1.txt';'test_watchdog_process_folder/test_1.txt';1;'Thu Jul 18, 2024 at 18:06:41';'Thu Jul 18, 2024 at 18:06:41'
'test_1.txt';'test_watchdog_process_folder_2/test_1.txt';1;'Thu Jul 18, 2024 at 18:06:43';'Thu Jul 18, 2024 at 18:06:43'
'test_2.txt';'test_watchdog_process_folder_2/test_2.txt';1;'Thu Jul 18, 2024 at 18:06:44';'Thu Jul 18, 2024 at 18:06:44'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:06:45';'Thu Jul 18, 2024 at 18:06:45'
'full_test.txt';'full_test.txt';1;'Thu Jul 18, 2024 at 18:06:47';'Thu Jul 18, 2024 at 18:06:47'
'full_test_2.txt';'full_test_2.txt';1;'Thu Jul 18, 2024 at 18:06:48';'Thu Jul 18, 2024 at 18:06:48'
'final_final_test.txt';'final_final_test.txt';1;'Thu Jul 18, 2024 at 18:06:50';'Thu Jul 18, 2024 at 18:06:50'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:06:51';'Thu Jul 18, 2024 at 18:06:51'
'test01.txt';'test01.txt';1;'Thu Jul 18, 2024 at 18:06:53';'Thu Jul 18, 2024 at 18:06:53'
'test02.txt';'test02.txt';1;'Thu Jul 18, 2024 at 18:06:54';'Thu Jul 18, 2024 at 18:06:54'
