filename;rel_filepath;status;n_chunks;first_message;most_recent_message
'test_data_txt_placeholder.txt';'test_data_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:52:56'
'test_watchdog_folder_test_2_txt_placeholder.txt';'test_watchdog_folder_test_2_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:52:58'
'test_watchdog_process_folder_test_1_txt_placeholder.txt';'test_watchdog_process_folder_test_1_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:53:01'
'test_watchdog_process_folder_2_test_2_txt_placeholder.txt';'test_watchdog_process_folder_2_test_2_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:53:04'
'full_test_2_txt_placeholder.txt';'full_test_2_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:53:09'
'test_watchdog_folder_test_1_txt_placeholder.txt';'test_watchdog_folder_test_1_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:52:57'
'test_watchdog_process_folder_test_2_txt_placeholder.txt';'test_watchdog_process_folder_test_2_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:53:00'
'test_watchdog_process_folder_2_test_1_txt_placeholder.txt';'test_watchdog_process_folder_2_test_1_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:53:03'
'full_test_txt_placeholder.txt';'full_test_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:53:07'
'_ipynb_checkpoints_test_data-checkpoint_txt_placeholder.txt';'_ipynb_checkpoints_test_data-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:52:56'
'test_watchdog_folder__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'test_watchdog_folder__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:52:59'
'test_watchdog_process_folder__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'test_watchdog_process_folder__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:53:03'
'test_watchdog_process_folder_2__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'test_watchdog_process_folder_2__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:43';'Thu Jul 18, 2024 at 17:53:05'
'test_watchdog_txt_placeholder.txt';'test_watchdog_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:44';'Thu Jul 18, 2024 at 17:52:58'
'test_watchdog_folder__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'test_watchdog_folder__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:44';'Thu Jul 18, 2024 at 17:53:00'
'test_watchdog_process_folder__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'test_watchdog_process_folder__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:44';'Thu Jul 18, 2024 at 17:53:02'
'test_watchdog_process_folder_2__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'test_watchdog_process_folder_2__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:44';'Thu Jul 18, 2024 at 17:53:06'
'test_full_txt_placeholder.txt';'test_full_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:44';'Thu Jul 18, 2024 at 17:53:08'
'test01_txt_placeholder.txt';'test01_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:45';'Thu Jul 18, 2024 at 17:53:13'
'test02_txt_placeholder.txt';'test02_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:45';'Thu Jul 18, 2024 at 17:53:13'
'final_test_txt_placeholder.txt';'final_test_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:45';'Thu Jul 18, 2024 at 17:53:12'
'final_final_test_txt_placeholder.txt';'final_final_test_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 17:52:45';'Thu Jul 18, 2024 at 17:53:10'
