filename;rel_filepath;n_chunks;first_message;processed_at
'_ipynb_checkpoints_test_data-checkpoint_txt_result.npy';'_ipynb_checkpoints_test_data-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:46';'Thu Jul 18, 2024 at 19:13:46'
'test_data_txt_result.npy';'test_data_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:46';'Thu Jul 18, 2024 at 19:13:46'
'test_watchdog_txt_result.npy';'test_watchdog_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:46';'Thu Jul 18, 2024 at 19:13:46'
'test_watchdog_folder_test_1_txt_result.npy';'test_watchdog_folder_test_1_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:46';'Thu Jul 18, 2024 at 19:13:46'
'test_watchdog_folder__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';'test_watchdog_folder__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:46';'Thu Jul 18, 2024 at 19:13:46'
'test_watchdog_folder_test_2_txt_result.npy';'test_watchdog_folder_test_2_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:46';'Thu Jul 18, 2024 at 19:13:46'
'test_watchdog_folder__ipynb_checkpoints_test_2-checkpoint_txt_result.npy';'test_watchdog_folder__ipynb_checkpoints_test_2-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:46';'Thu Jul 18, 2024 at 19:13:46'
'test_watchdog_process_folder_2_test_1_txt_result.npy';'test_watchdog_process_folder_2_test_1_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:47';'Thu Jul 18, 2024 at 19:13:47'
'test_watchdog_process_folder_2_test_2_txt_result.npy';'test_watchdog_process_folder_2_test_2_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:47';'Thu Jul 18, 2024 at 19:13:47'
'full_test_txt_result.npy';'full_test_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:47';'Thu Jul 18, 2024 at 19:13:47'
'full_test_txt_result.npy';'full_test_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:47';'Thu Jul 18, 2024 at 19:13:47'
'full_test_2_txt_result.npy';'full_test_2_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:47';'Thu Jul 18, 2024 at 19:13:47'
'test_data_txt_result.npy';'test_data_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:48';'Thu Jul 18, 2024 at 19:13:48'
'_ipynb_checkpoints_test_data-checkpoint_txt_result.npy';'_ipynb_checkpoints_test_data-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:48';'Thu Jul 18, 2024 at 19:13:48'
'test_watchdog_folder_test_1_txt_result.npy';'test_watchdog_folder_test_1_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:48';'Thu Jul 18, 2024 at 19:13:48'
'test_watchdog_txt_result.npy';'test_watchdog_txt_result.npy';1;'Thu Jul 18, 2024 at 19:13:48';'Thu Jul 18, 2024 at 19:13:48'
